course_name,subject,tags,url
Data Structures and Algorithms,computerscience,"Operating Systems, Data Structures, Algorithms",http://people.cis.ksu.edu/~schmidt/300s05/Lectures/home.html
Java Programming,computerscience,"Java Programming, Programming Languages",http://sofia.fhda.edu/gallery/java/lessons.html
Computer Language Engineering,computerscience,"Programming Languages, Functions, Software Development",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-035-computer-language-engineering-spring-2010/
Computational Camera and Photography,computerscience,"Computer Graphics, Electronics",http://ocw.mit.edu/courses/media-arts-and-sciences/mas-531-computational-camera-and-photography-fall-2009/index.htm
CS186: Introduction to Database Systems,computerscience,"Database Systems, Relational Algebra, Query Processing",http://inst.eecs.berkeley.edu/~cs186/fa06/notes.php
Computer Science 164: Mobile Software Engineering,computerscience,"Computer Engineering, Mobile Engineering, Web Design",http://cs.harvard.edu/malan/courses/
CHE 466: Process Dynamics and Controls,computerscience,"Process Technology, Engineering, Chemical Engineering",http://open.umich.edu/education/engin/che/che466/fall2008.html
Quantum Computation,computerscience,"Science, Physics, Engineering",http://www.quiprocone.org/Protected/DD_lectures.htm
The Beauty of Joy of Computing,computerscience,"Programming, Software Engineering","http://webcast.berkeley.edu/playlist#c,s,All,A048EC6D65F1CB15"
Understanding Computers and the Internet,computerscience,"Hardware, Software, Internet, Website Development, Programming",http://computerscience1.tv/2011/spring/
Building Mobile Applications - Android/iOS Apps,computerscience,"Applications, Programming",http://cs76.tv/2011/spring/
Practical Aspects of Modern Cryptography,computerscience,"Cryptography, Protocols, Solutions, Digital Rights Management",https://www.cs.washington.edu/education/courses/csep590/06wi/lectures/
"Search Engines: Technology, Society, and Business",computerscience,"Search Engines, Internet, Technology, Business","http://webcast.berkeley.edu/playlist#c,s,All,1777A89066B1D71D"
The Structure and Interpretation of Computer Programs,computerscience,"Programming, Functions","http://webcast.berkeley.edu/playlist#c,s,All,3E89002AA9B9879E"
Programming Languages and Compilers,computerscience,"Compilers, Programming Languages","http://webcast.berkeley.edu/playlist#c,s,All,03D59E2ECDDA66DF"
Computer Musings,computerscience,"Literate Programming, Programming",http://scpd.stanford.edu/knuth/index.jsp
Structure and Interpretation of Computer Programs,computerscience,"Computer Languages, Programming",https://groups.csail.mit.edu/mac/classes/6.001/abelson-sussman-lectures/
Introduction to Computer Science I,computerscience,"Programming, Software Engineering",http://cs50.tv/2011/fall/
Music and Technology: Live Electronics Performance Practices,computerscience,"Electronics, Computer Synthesis Programming, Hardware, Software",http://ocw.mit.edu/courses/music-and-theater-arts/21m-380-music-and-technology-live-electronics-performance-practices-spring-2011/
Data Structures and Advanced Programming (Java),computerscience,"Data Structures, Programming, Java",http://wla.berkeley.edu/main.php?course=cs61b
Circuits and Electronics,computerscience,"Circuits, Electronics, Electrical Engineering",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-002-circuits-and-electronics-spring-2007/
Data Structures and Advanced Programming,computerscience,"Interfaces, Algorithmic Analysis, Programming",http://www-inst.eecs.berkeley.edu/~cs61b/sp06/lectures/index.html
Vision Algorithms,computerscience,"Image Statistics, Energy, Algorithms, Partial Differential Equations",https://www.cs.washington.edu/education/courses/cse577/04sp/contents.html#BP
Principles of Digital Communication II,computerscience,"Coding, Digital Communication",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-451-principles-of-digital-communication-ii-spring-2005/
Introduction to Embedded Systems,computerscience,"Modeling, Dynamics, Systems","http://webcast.berkeley.edu/playlist#c,s,All,26403B76DCC8FFC8"
Grid Computing,computerscience,"Grid Computing, Networking, Functionality",http://www.cs.kent.edu/~farrell/grid06/lectures/index.html
Law and Veterinary Medicine,criminal-justice,"Criminal Law, Civil Law",http://ocw.tufts.edu/data/43/481655.pdf
International Studies: Global Issues & Institutions,criminal-justice,"Terrorism, Political Science",http://ocw.uci.edu/courses/International-Studies-12-Global-Issues--Institutions.aspx
IIPS 30101: Introduction to Peace Studies,criminal-justice,"Political Science, Government",http://ocw.nd.edu/peace-studies/introduction-to-peace-studies
Theories of Public Policy,criminal-justice,"Public Policy, Law, Government",http://ocw.tufts.edu/Course/8/CourseHome
"Disaster, Vulnerability and Resilience",criminal-justice,"Social, Political, Disaster, Policy & Planning",http://ocw.mit.edu/courses/urban-studies-and-planning/11-941-disaster-vulnerability-and-resilience-spring-2005/index.htm
Ethics and the Law on the Electronic Frontier,criminal-justice,"Law, Policy, Internet, Technology, PATRIOT Act",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-805-ethics-and-the-law-on-the-electronic-frontier-fall-2005/
Forensic Psychology,criminal-justice,"Forensic, Psychology, Crime, Violence, Psychoanalytics",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Psychology&course=PSY513
Law and Society,criminal-justice,"Law, Legal, Society, Policy",http://ocw.mit.edu/courses/anthropology/21a-219-law-and-society-spring-2003/
"Warlords, Terrorists, and Militias: Theorizing on Violent Non-State Actors",criminal-justice,"Terrorism, Violence, Warlords, Governments",http://ocw.mit.edu/courses/political-science/17-586-warlords-terrorists-and-militias-theorizing-on-violent-non-state-actors-spring-2009/index.htm
Immigration Law Symposium,criminal-justice,"Physical, Cognitive, Intelligence, PE",http://ocw.uci.edu/courses/Immigration-Law-Symposium.aspx
Teaching Students with Special Needs: Behaviour Management,education,"Community Education, Youth Development",http://ocw.usq.edu.au/course/view.php?id=11
Education 173: Cognition & Learning in Educational Settings,education,"Psychology, Educational Psychology",http://ocw.uci.edu/courses/Education-173-Cognition--Learning-in-Educational-Settings.aspx
Technology and Society,education,"Sociology, Counselor Education",http://ocw.usq.edu.au/course/view.php?id=14
Special Topics: Open Educational Resources and the University of Michigan,education,Technology Education,http://open.umich.edu/education/si/si521/winter2009.html
PE for ME,education,"Physical, Cognitive, Intelligence, PE",http://ocw.mit.edu/courses/athletics-physical-education-and-recreation/pe-920-pe-for-me-spring-2005/
Introduction to Open Education,education,"Open, Education, Copyright, Licensing, Learning, Thinking, Writing",http://ocw.usu.edu/instructional-technology-learning-sciences/introduction-to-open-education/index.html
Research for the Classroom Teacher,education,"Model, Teaching, Classroom",http://ocw.usu.edu/education/research-for-the-classroom-teacher/index.html
Preschool Learning Standards and Guidelines,education,"Preschool, Early, Childhood, Education",http://ocw.umb.edu/early-education-development/eec-preschool-learning-standards-and-guidelines
Tennis,education,"Tennis, Techniques, Tactics",http://ocw.mit.edu/courses/athletics-physical-education-and-recreation/pe-710-tennis-spring-2007/
Dementia: Update for the Practitioner,healthcare,"Medicine, Neurology, Healthcare",http://ci.columbia.edu/ci/ecourses/c1182_detail.html
Epidemiology,healthcare,"Public Health, Epidemiology",http://open.uwec.edu/course/64/epidemiology
Leadership Training Workshop for Health Professionals,healthcare,"Health Information Management, Healthcare, Public Health",http://open.umich.edu/education/med/oernetwork/health-admin/org-admin/leadership-health/2012.html
Management: Waste Management,healthcare,"Public Health, Veterinary Medicine, Clinical Medicine",http://ocw.tufts.edu/Content/46/lecturenotes/532600/532621
Medical Interviewing and the Doctor-Patient Relationship,healthcare,"Technical Communication, Communications, Allied Health",http://ocw.tufts.edu/Content/70/lecturenotes/1232943
Medicine and Public Health in American History,healthcare,"Medical Science, Medicine, History",http://ocw.nd.edu/history/medicine-and-public-health-in-american-history
Population Medicine,healthcare,"Public Health, Epidemiology",http://ocw.tufts.edu/Course/42
Quality Oversight in the Health Care Marketplace,healthcare,"Quality Assurance, Medicine, Policies",http://ocw.tufts.edu/Course/69
Measuring Health and Disease I: Introduction to Epidemiology Module Guide,healthcare,"Public Health, Epidemiology",http://open.umich.edu/education/med/oernetwork/public-health/epidemiology/intro-epidemiology/2010.html
Health Management I Module Guide,healthcare,"Medical Administration, Management",http://open.umich.edu/education/med/oernetwork/health-admin/org-admin/health-management-i/2008.html
